"file","id","kind","type","audience","series","duration_s","dimensions","caption","hashtags"
"videos/ad-tesla-bumper-0-0.mp4","ad-tesla-bumper-0-0","video","Product ad","flippers","","10.2","1080x1920","Stop overpaying for EV parts. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-bumper-1-0.mp4","ad-tesla-bumper-1-0","video","Product ad","garages","","10.2","1080x1920","Your dealer is robbing you. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-bumper-2-0.mp4","ad-tesla-bumper-2-0","video","Product ad","public","","10.2","1080x1920","Tesla repair quote made you cry? Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-bumper-3-0.mp4","ad-tesla-bumper-3-0","video","Product ad","flippers","","10.2","1080x1920","MG owners — you NEED this. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-bumper-4-0.mp4","ad-tesla-bumper-4-0","video","Product ad","garages","","10.2","1080x1920","EV parts without the dealer price. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-bumper-5-0.mp4","ad-tesla-bumper-5-0","video","Product ad","public","","10.2","1080x1920","POV: you found exact-fit parts. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-bumper-6-0.mp4","ad-tesla-bumper-6-0","video","Product ad","flippers","","10.2","1080x1920","Pranged it? Don’t panic. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-bumper-7-0.mp4","ad-tesla-bumper-7-0","video","Product ad","garages","","10.2","1080x1920","This is why your EV repair bill is mad. Tesla Model 3 Front Bumper from £289 (was £690) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-headlight-0-1.mp4","ad-tesla-headlight-0-1","video","Product ad","garages","","10.2","1080x1920","Stop overpaying for EV parts. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-headlight-1-1.mp4","ad-tesla-headlight-1-1","video","Product ad","public","","10.2","1080x1920","Your dealer is robbing you. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-headlight-2-1.mp4","ad-tesla-headlight-2-1","video","Product ad","flippers","","10.2","1080x1920","Tesla repair quote made you cry? Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-headlight-3-1.mp4","ad-tesla-headlight-3-1","video","Product ad","garages","","10.2","1080x1920","MG owners — you NEED this. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-headlight-4-1.mp4","ad-tesla-headlight-4-1","video","Product ad","public","","10.2","1080x1920","EV parts without the dealer price. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-headlight-5-1.mp4","ad-tesla-headlight-5-1","video","Product ad","flippers","","10.2","1080x1920","POV: you found exact-fit parts. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-headlight-6-1.mp4","ad-tesla-headlight-6-1","video","Product ad","garages","","10.2","1080x1920","Pranged it? Don’t panic. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-headlight-7-1.mp4","ad-tesla-headlight-7-1","video","Product ad","public","","10.2","1080x1920","This is why your EV repair bill is mad. Tesla Model 3 LED Headlight from £249 (was £610) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-bumper-0-2.mp4","ad-tesla-bumper-0-2","video","Product ad","public","","10.2","1080x1920","Stop overpaying for EV parts. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-bumper-1-2.mp4","ad-tesla-bumper-1-2","video","Product ad","flippers","","10.2","1080x1920","Your dealer is robbing you. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-bumper-2-2.mp4","ad-tesla-bumper-2-2","video","Product ad","garages","","10.2","1080x1920","Tesla repair quote made you cry? Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-bumper-3-2.mp4","ad-tesla-bumper-3-2","video","Product ad","public","","10.2","1080x1920","MG owners — you NEED this. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
"videos/ad-tesla-bumper-4-2.mp4","ad-tesla-bumper-4-2","video","Product ad","flippers","","10.2","1080x1920","EV parts without the dealer price. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. Flipping an EV or hybrid? Exact-fit panels, margin-friendly prices. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carflipping #carflip #flippingcars #catscars #salvagecar #evflip"
"videos/ad-tesla-bumper-5-2.mp4","ad-tesla-bumper-5-2","video","Product ad","garages","","10.2","1080x1920","POV: you found exact-fit parts. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. EV & hybrid repairs? Exact-fit parts, dispatched same day. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #mechanic #garage #evrepair #bodyshop #cartrade #evgarage"
"videos/ad-tesla-bumper-6-2.mp4","ad-tesla-bumper-6-2","video","Product ad","public","","10.2","1080x1920","Pranged it? Don’t panic. Tesla Model Y Front Bumper from £299 (was £720) at Calibre Auto Parts. Pranged your EV? We’ll get you back on the road for less. 🔧 Shop calibreautoparts.co.uk","#evparts #carparts #tesla #mgmotor #byd #ukcars #watford #calibreautoparts #electriccar #hybrid #carmaintenance #carinsurance #cartips #evlife #cardamage"
