"date","time","platform","file","type","caption","hashtags"
"2026-06-10","08:00","TikTok + Instagram Reels","videos/ad-bmw-bumper-0-0.mp4","Product ad","Stop overpaying for car parts. BMW 3 Series Front Bumper from £165 (was £430) at Calibre Auto Parts. Flipping a car? Smash your margins, not your budget. 🔧 Shop calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-10","12:00","TikTok + Instagram Reels","videos/cmp-bmw-bumper-0-0.mp4","Price comparison","BMW 3 Series Front Bumper: main dealer £430 vs Calibre £165. Why pay more? 👀 calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-10","15:00","TikTok + Instagram Reels","videos/ugc-danny-bumper-0.mp4","UGC review","I order ALL my parts from here now — got my BMW 3 Series Front Bumper for £165 😮 @calibreautoparts #review","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-10","18:00","TikTok + Instagram Reels","videos/story-flip-bmw-p1.mp4","Story time (1/3)","I flipped a crashed BMW — Part 1 of 3. Follow for the next part 👀 @calibreautoparts","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-10","20:00","TikTok + Instagram Reels","videos/cartoon-meet-calibre-auto-parts-0.mp4","Animated explainer","Meet Calibre Auto Parts 🚗 Family-run from Watford. Quality car parts at trade prices. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-11","08:00","TikTok + Instagram Reels","videos/showcase-bumper.mp4","Parts showcase","Bumpers for every make & budget, from £165. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-11","12:00","TikTok + Instagram Reels","videos/promo-exclusive-tiktok-offer-0.mp4","Offer / promo","Exclusive TikTok offer! Follow + use code at checkout 🎉 Code: TIKTOK10. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper #sale #discount #offer"
"2026-06-11","15:00","TikTok + Instagram Reels","videos/trust-0.mp4","Trust / eBay proof","Is Calibre legit? Here’s the proof ✅ 100% eBay feedback as evbodyparts, trading as Calibre Auto Parts. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper #trustedseller #ebay"
"2026-06-11","18:00","TikTok + Instagram Reels","videos/testi-danny-0.mp4","Testimonial","⭐️⭐️⭐️⭐️⭐️ ""Bought 6 bumpers off Calibre this month. Quality’s spot on and the price means I actually make money on the flip."" — Danny, Car flipper, Essex. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-11","20:00","TikTok + Instagram Reels","videos/tip-buy-the-panel-not-the-labour-0.mp4","Educational tip","Save money on body damage 💡 Buy the panel, not the labour. Save this & follow @calibreautoparts for more.","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper #cartips #diycar"
"2026-06-12","08:00","TikTok + Instagram Reels","videos/ad-bmw-bumper-1-0.mp4","Product ad","Your dealer is robbing you. BMW 3 Series Front Bumper from £165 (was £430) at Calibre Auto Parts. Trade account? Trade prices on every panel. 🔧 Shop calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #mechanic #garage #carmechanic #trade #bodyshop #cartrade"
"2026-06-12","12:00","TikTok + Instagram Reels","videos/cmp-bmw-bumper-0-1.mp4","Price comparison","BMW 3 Series Front Bumper: main dealer £430 vs Calibre £165. Why pay more? 👀 calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #mechanic #garage #carmechanic #trade #bodyshop #cartrade"
"2026-06-12","15:00","TikTok + Instagram Reels","videos/ugc-sarah-headlight-1.mp4","UGC review","Honest review after 6 months — got my BMW 3 Series Headlight for £139 😮 @calibreautoparts #review","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carmaintenance #carinsurance #cartips #drivinguk #cardamage"
"2026-06-12","18:00","TikTok + Instagram Reels","videos/story-flip-bmw-p2.mp4","Story time (2/3)","I flipped a crashed BMW — Part 2 of 3. Follow for the next part 👀 @calibreautoparts","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-12","20:00","TikTok + Instagram Reels","videos/cartoon-what-calibre-stands-for-1.mp4","Animated explainer","What Calibre stands for 🚗 Family-run from Watford. Quality car parts at trade prices. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-13","08:00","TikTok + Instagram Reels","videos/showcase-headlight.mp4","Parts showcase","Headlights for every make & budget, from £139. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
"2026-06-13","12:00","TikTok + Instagram Reels","videos/promo-trade-accounts-welcome-1.mp4","Offer / promo","Trade accounts welcome! Garages — DM us to set up an account 🎉 calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper #sale #discount #offer"
"2026-06-13","15:00","TikTok + Instagram Reels","videos/trust-1.mp4","Trust / eBay proof","Why thousands trust us with their car ✅ 100% eBay feedback as evbodyparts, trading as Calibre Auto Parts. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper #trustedseller #ebay"
"2026-06-13","18:00","TikTok + Instagram Reels","videos/testi-sarah-1.mp4","Testimonial","⭐️⭐️⭐️⭐️⭐️ ""Reversed into a post 🙈 Calibre sorted me a new wing next day. Half what the garage quoted."" — Sarah, Watford. calibreautoparts.co.uk","#carparts #carrepair #ukcars #watford #carpartsuk #autoparts #calibreautoparts #carflipping #carflip #flippingcars #catscars #salvagecar #carflipper"
